Address_A,Port_A,Address_B,Port_B,Total_Packets,Total_Bytes,Packets_Forward,Bytes_Forward,Packets_Backward,Bytes_Backward,Rel_Start,Duration,Bits/s_Forward,Bits/s_Backward
192.168.50.88,48129,8.8.4.4,53,2,159,2,159,0,0,42494.73241,209908.5966,0.00605978,0
192.168.50.88,48160,8.8.8.8,53,2,637,1,70,1,567,379752.7923,0.004647,0,0
192.168.50.18,54181,224.0.0.252,5355,1,71,1,71,0,0,334289.119,0,0,0
192.168.50.88,56648,8.8.8.8,53,2,866,1,80,1,786,543630.0676,0.013979,45782.96003,449817.5823
192.168.50.15,50847,192.168.50.88,53,4,472,2,152,2,320,211474.9694,2326388.37,0.000522699,0.001100418
fe80::3403:4993:3b2c:2ae9,61521,ff02::1:3,5355,4,336,4,336,0,0,93652.2169,1661162.217,0.001618144,0
fe80::2101:7e33:c6a9:362b,56755,ff02::1:3,5355,2,182,2,182,0,0,509260.8216,0.099695,14604.54386,0
192.168.50.18,58093,192.168.50.88,53,8,976,4,320,4,656,121963.4393,2487028.008,0.001029341,0.002110149
192.168.50.11,51795,224.0.0.252,5355,1,71,1,71,0,0,575014.7898,0,0,0
192.168.50.88,52765,8.8.4.4,53,2,285,1,93,1,192,24328.96611,0.036492,20388.03025,42091.4173
192.168.50.88,49538,8.8.8.8,53,2,216,1,100,1,116,394167.7874,0.003745,0,0
192.168.50.65,51266,192.168.50.88,53,2,474,1,92,1,382,510067.5383,0.065073,11310.37451,46962.64197
192.168.50.88,37611,8.8.8.8,53,3,959,2,158,1,801,303044.4068,2221755.65,0.000568919,0.002884206
192.168.50.15,60106,192.168.50.88,53,4,472,2,152,2,320,284568.6634,2551507.536,0.000476581,0.001003328
192.168.50.54,60272,239.255.255.250,1900,4,860,4,860,0,0,529578.5375,2.996557,2295.96834,0
fe80::d58e:a29a:c48:dd8f,61345,ff02::1:3,5355,2,182,2,182,0,0,559314.6904,0.104375,13949.7006,0
192.168.50.88,54522,8.8.4.4,53,1,70,1,70,0,0,239189.2328,0,0,0
192.168.50.88,51973,8.8.4.4,53,2,192,1,88,1,104,428035.7974,0.010861,64819.07751,76604.36432
192.168.50.18,49387,192.168.50.88,53,4,488,2,160,2,328,107202.8272,1396047.004,0.000916875,0.001879593
192.168.50.11,54868,224.0.0.252,5355,1,71,1,71,0,0,484113.9927,0,0,0
192.168.50.18,52693,224.0.0.252,5355,1,71,1,71,0,0,326188.7445,0,0,0
192.168.50.88,52762,8.8.4.4,53,2,224,1,104,1,120,60877.34793,0.04626,17985.30047,20752.26978
192.168.50.88,55881,8.8.4.4,53,3,293,2,169,1,124,476769.7854,2896876.99,0.000466709,0.000342438
192.168.50.14,56420,224.0.0.252,5355,2,128,2,128,0,0,219725.0269,0.098164,10431.52276,0
192.168.50.88,46402,8.8.8.8,53,3,476,2,185,1,291,324607.286,399334.8406,0.003706163,0.005829694
192.168.50.52,62911,224.0.0.252,5355,1,71,1,71,0,0,380877.841,0,0,0
192.168.50.88,52118,8.8.4.4,53,1,89,1,89,0,0,122412.1837,0,0,0
192.168.50.88,49071,8.8.4.4,53,1,90,1,90,0,0,131587.0713,0,0,0
192.168.50.15,55605,192.168.50.88,53,4,472,2,152,2,320,97810.20963,423719.9947,0.00286982,0.006041726
192.168.50.15,60420,192.168.50.88,53,2,236,1,76,1,160,203763.0004,0.000197,0,0
192.168.50.60,59070,192.168.50.88,53,2,438,1,75,1,363,60437.76771,0.087778,6835.425733,33083.46055
192.168.50.14,64186,224.0.0.252,5355,2,128,2,128,0,0,361595.0485,0.10487,9764.470298,0
192.168.50.88,37595,8.8.4.4,53,2,287,1,94,1,193,509025.7211,0.204989,3668.489529,7532.111479
192.168.50.88,52434,8.8.4.4,53,2,270,1,87,1,183,488603.5726,0.004178,0,0
192.168.50.15,51732,192.168.50.88,53,4,472,2,152,2,320,448313.4869,1433114.756,0.000848501,0.001786319
192.168.50.88,41356,8.8.4.4,53,3,967,2,162,1,805,214361.1651,1761479.886,0.000735745,0.003656017
192.168.50.88,42388,8.8.4.4,53,2,889,1,84,1,805,438569.9811,0.004773,0,0
192.168.50.66,51922,224.0.0.252,5355,2,128,2,128,0,0,2133.677004,0.095191,10757.31949,0
192.168.50.16,51821,192.168.50.88,53,2,242,1,79,1,163,286632.3587,0.000231,0,0
fe80::3403:4993:3b2c:2ae9,62762,ff02::1:3,5355,2,168,2,168,0,0,180889.8622,0.103879,12938.12994,0
192.168.50.63,59193,192.168.50.88,53,2,421,1,91,1,330,516636.9195,0.013397,54340.52411,197059.0435
192.168.50.14,58119,224.0.0.252,5355,2,128,2,128,0,0,381805.7932,0.098996,10343.85228,0
192.168.50.88,58921,8.8.4.4,53,1,78,1,78,0,0,195861.1581,0,0,0
192.168.50.63,65058,192.168.50.88,53,2,543,1,76,1,467,61298.35409,0.021277,28575.45707,175588.6638
192.168.50.88,45787,8.8.4.4,53,5,521,3,273,2,248,237960.1944,2890227.022,0.00075565,0.000686451
192.168.50.19,49877,192.168.50.88,53,2,391,1,73,1,318,521398.2805,0.008316,70226.07029,305916.3062
192.168.50.88,47546,8.8.4.4,53,1,78,1,78,0,0,472666.7541,0,0,0
192.168.50.88,36922,8.8.4.4,53,2,436,1,105,1,331,417239.31,0.012748,65892.68886,207718.8573
192.168.50.88,51557,8.8.8.8,53,4,1091,2,168,2,923,509811.302,110855.5056,0.01212389,0.066609231
192.168.50.88,58489,8.8.8.8,53,2,885,1,82,1,803,460104.7242,0.004725,0,0
192.168.50.88,50770,8.8.4.4,53,1,70,1,70,0,0,83950.00183,0,0,0
192.168.50.88,38646,8.8.4.4,53,5,1603,3,235,2,1368,89911.44547,3290546.167,0.000571334,0.003325892
192.168.50.88,44322,8.8.8.8,53,1,84,1,84,0,0,281897.8638,0,0,0
fe80::785b:9c3b:68b4:aa64,59893,ff02::1:3,5355,1,91,1,91,0,0,399706.4844,0,0,0
192.168.50.15,52529,192.168.50.88,53,2,236,1,76,1,160,539954.0945,0.000193,0,0
192.168.50.88,43472,8.8.8.8,53,2,202,1,84,1,118,368325.5986,0.003733,0,0
192.168.50.88,54404,8.8.8.8,53,2,258,1,105,1,153,540408.9225,0.066386,12653.27026,18437.62238
192.168.50.88,59218,8.8.4.4,53,1,78,1,78,0,0,387576.9165,0,0,0
192.168.50.50,62684,192.168.50.88,53,4,789,2,178,2,611,61177.44046,0.000491,0,0
192.168.50.11,64524,192.168.50.88,53,2,148,1,74,1,74,183791.812,10.000526,59.19688624,59.19688624
192.168.50.88,57436,8.8.4.4,53,1,70,1,70,0,0,131696.7629,0,0,0
192.168.50.88,51574,8.8.8.8,53,2,637,1,70,1,567,535362.552,0.00713,78541.37401,636185.1295
fe80::891f:ff8f:8660:beff,54455,ff02::1:3,5355,1,91,1,91,0,0,476013.9419,0,0,0
192.168.50.88,56141,8.8.8.8,53,3,726,2,159,1,567,82260.33859,2264976.293,0.000561595,0.00200267
192.168.50.88,60658,8.8.4.4,53,2,290,1,129,1,161,44416.93304,0.012567,82119.83768,102490.6501
192.168.50.54,49668,239.255.255.250,1900,4,860,4,860,0,0,437898.4858,2.998662,2294.356616,0
192.168.50.88,56576,8.8.8.8,53,2,893,1,86,1,807,473143.5776,0.01243,55349.95976,519388.5759
fe80::f42d:b31d:a4b2:df73,60119,ff02::1:3,5355,2,176,2,176,0,0,475482.1335,0.100535,14005.07286,0
192.168.50.52,49424,192.168.50.88,53,2,431,1,94,1,337,443440.6173,0.016898,44502.30804,159545.5086
192.168.50.88,54788,8.8.8.8,53,1,78,1,78,0,0,131695.1593,0,0,0
192.168.50.14,50026,224.0.0.252,5355,2,128,2,128,0,0,69505.40701,0.097043,10552.02333,0
192.168.50.88,43934,8.8.4.4,53,2,408,1,140,1,268,445958.4035,0.004641,0,0
192.168.50.88,60921,8.8.4.4,53,1,70,1,70,0,0,20825.72705,0,0,0
192.168.50.18,58083,224.0.0.252,5355,1,71,1,71,0,0,129965.7221,0,0,0
192.168.50.88,38087,8.8.4.4,53,2,325,1,89,1,236,437823.7321,0.004348,0,0
192.168.50.88,59962,8.8.8.8,53,1,78,1,78,0,0,292121.3644,0,0,0
192.168.50.59,51986,224.0.0.252,5355,2,132,2,132,0,0,380638.5336,0.10831,9749.792265,0
192.168.50.54,55071,192.168.50.88,53,2,385,1,79,1,306,396012.4295,0.019618,32215.31253,124783.3625
192.168.50.88,58774,8.8.4.4,53,2,188,1,86,1,102,416621.442,0.013012,52874.26986,62711.34333
fe80::3403:4993:3b2c:2ae9,65420,ff02::1:3,5355,4,336,4,336,0,0,453825.6195,1192669.203,0.002253768,0
192.168.50.88,54938,8.8.4.4,53,1,70,1,70,0,0,300194.9083,0,0,0
192.168.50.88,59349,8.8.4.4,53,2,903,1,91,1,812,47804.83086,0.004738,0,0
192.168.50.88,56931,8.8.4.4,53,1,70,1,70,0,0,217517.6892,0,0,0
192.168.50.88,47796,8.8.8.8,53,2,348,1,90,1,258,556876.1635,0.013765,52306.57494,149945.5148
fe80::891f:ff8f:8660:beff,53777,ff02::1:3,5355,2,182,2,182,0,0,87210.71302,513004.2272,0.002838183,0
192.168.50.15,63039,192.168.50.88,53,2,236,1,76,1,160,567407.1012,0.000228,0,0
192.168.50.88,48063,8.8.8.8,53,1,78,1,78,0,0,145315.8464,0,0,0
192.168.50.54,52636,239.255.255.250,1900,4,860,4,860,0,0,446898.5699,2.999071,2294.043722,0
192.168.50.88,46688,8.8.8.8,53,2,188,1,86,1,102,458865.106,0.012413,55425.76336,65737.53329
192.168.50.88,33784,8.8.4.4,53,2,885,1,82,1,803,500304.231,0.004477,0,0
192.168.50.18,52301,224.0.0.252,5355,2,142,2,142,0,0,309086.7583,336637.9561,0.003374545,0
192.168.50.88,43220,8.8.4.4,53,1,59,1,59,0,0,507831.5517,0,0,0
192.168.50.16,49269,192.168.50.88,53,2,242,1,79,1,163,232871.0847,0.000271,0,0
192.168.50.88,54835,8.8.8.8,53,1,89,1,89,0,0,478356.9352,0,0,0
192.168.50.88,52573,8.8.4.4,53,1,78,1,78,0,0,89048.81156,0,0,0
fe80::d58e:a29a:c48:dd8f,58446,ff02::1:3,5355,1,91,1,91,0,0,299185.637,0,0,0
192.168.50.54,52229,239.255.255.250,1900,4,860,4,860,0,0,400578.543,2.997893,2294.94515,0
fe80::3403:4993:3b2c:2ae9,58434,ff02::1:3,5355,2,168,2,168,0,0,453830.7469,0.100957,13312.59843,0
192.168.50.15,50489,192.168.50.88,53,2,236,1,76,1,160,530832.767,0.000264,0,0
192.168.50.88,53877,8.8.4.4,53,4,296,4,296,0,0,393575.3725,10.010762,236.5454298,0
192.168.50.88,40767,8.8.4.4,53,2,885,1,82,1,803,437521.2615,0.004418,0,0
192.168.50.88,58275,8.8.4.4,53,1,95,1,95,0,0,378209.1992,0,0,0
192.168.50.18,54448,192.168.50.88,53,2,244,1,80,1,164,337077.5551,0.000205,0,0
192.168.50.88,50219,8.8.8.8,53,2,286,1,95,1,191,546714.792,0.041594,18271.86616,36736.06775
192.168.50.88,58208,8.8.4.4,53,4,296,4,296,0,0,278741.6439,10.010705,236.5467767,0
192.168.50.63,59149,192.168.50.88,53,2,377,1,75,1,302,442778.273,0.000401,0,0
192.168.50.88,33627,8.8.8.8,53,2,278,1,123,1,155,392041.1404,0.020956,46955.52594,59171.59774
192.168.50.88,43820,8.8.8.8,53,2,233,1,92,1,141,382295.5334,0.011389,64623.75981,99042.93624
192.168.50.88,50710,8.8.4.4,53,1,89,1,89,0,0,508773.1598,0,0,0
fe80::891f:ff8f:8660:beff,56355,ff02::1:3,5355,1,91,1,91,0,0,421113.6294,0,0,0
192.168.50.65,62945,192.168.50.88,53,2,463,1,92,1,371,417837.4925,0.201905,3645.27872,14699.98266
192.168.50.54,62754,239.255.255.250,1900,4,860,4,860,0,0,441258.5006,2.997782,2295.030126,0
fe80::d58e:a29a:c48:dd8f,64953,ff02::1:3,5355,1,91,1,91,0,0,386494.4163,0,0,0
192.168.50.88,44677,8.8.8.8,53,2,242,1,105,1,137,379378.9644,0.011244,74706.51018,97474.20852
192.168.50.14,50342,224.0.0.252,5355,2,128,2,128,0,0,475693.8224,0.103937,9852.121955,0
192.168.50.18,61571,192.168.50.88,53,8,976,4,320,4,656,248871.1014,2076304.09,0.00123296,0.002527568
192.168.50.15,52490,192.168.50.88,53,4,472,2,152,2,320,193200.487,2619353.092,0.000464237,0.000977341
192.168.50.11,51957,224.0.0.252,5355,1,71,1,71,0,0,23310.34992,0,0,0
192.168.50.88,52841,8.8.4.4,53,2,218,1,101,1,117,60904.99135,0.01103,73254.75978,84859.47421
192.168.50.88,40647,8.8.8.8,53,2,637,1,70,1,567,391490.0759,0.004493,0,0
192.168.50.52,55963,224.0.0.252,5355,1,71,1,71,0,0,470526.1146,0,0,0
192.168.50.88,50671,8.8.4.4,53,2,893,1,86,1,807,417900.6283,0.01232,55844.15567,524025.9724
192.168.50.88,42188,8.8.8.8,53,2,200,1,86,1,114,469681.8309,0.02351,29264.14296,38792.00345
192.168.50.88,59939,8.8.8.8,53,1,70,1,70,0,0,257506.6617,0,0,0
192.168.50.88,43327,8.8.4.4,53,2,202,1,84,1,118,530788.9195,0.003749,0,0
fe80::3403:4993:3b2c:2ae9,60999,ff02::1:3,5355,4,336,4,336,0,0,271586.6969,1815887.145,0.001480268,0
192.168.50.54,60129,239.255.255.250,1900,4,860,4,860,0,0,536178.7865,2.998807,2294.245678,0
192.168.50.59,49805,192.168.50.88,53,2,443,1,83,1,360,379.924274,0.08188,8109.428432,35173.42452
fe80::891f:ff8f:8660:beff,63238,ff02::1:3,5355,1,91,1,91,0,0,300511.9582,0,0,0
192.168.50.88,39409,8.8.4.4,53,1,95,1,95,0,0,127.376174,0,0,0
192.168.50.15,60680,192.168.50.88,53,4,472,2,152,2,320,465779.0395,2705087.98,0.000449523,0.000946365
192.168.50.54,54240,239.255.255.250,1900,4,860,4,860,0,0,467058.4856,3.001133,2292.467545,0
192.168.50.88,46753,8.8.8.8,53,1,59,1,59,0,0,192248.9518,0,0,0
192.168.50.63,51455,192.168.50.88,53,2,401,1,87,1,314,60858.29079,0.000144,0,0
192.168.50.19,59494,192.168.50.88,53,2,422,1,81,1,341,463839.967,0.000435,0,0
192.168.50.50,55463,192.168.50.88,53,2,461,1,77,1,384,4448.870982,0.000227,0,0
192.168.50.63,59288,192.168.50.88,53,2,412,1,83,1,329,464088.6933,0.014526,45711.13861,181192.3446
192.168.50.88,50843,8.8.8.8,53,6,933,5,366,1,567,201451.3674,2215288.35,0.001321724,0.002047589
192.168.50.88,56610,8.8.4.4,53,2,208,1,96,1,112,13403.87854,0.040669,18884.16238,22031.52278
192.168.50.88,35694,8.8.8.8,53,1,85,1,85,0,0,256014.0701,0,0,0
192.168.50.88,58391,8.8.8.8,53,2,204,1,94,1,110,4402.401174,0.031373,23969.65544,28049.59679
192.168.50.54,50271,239.255.255.250,1900,4,860,4,860,0,0,370458.0029,2.997444,2295.288919,0
192.168.50.54,55766,239.255.255.250,1900,4,860,4,860,0,0,389658.4206,2.999208,2293.938933,0
192.168.50.18,58137,192.168.50.88,53,8,976,4,320,4,656,134624.3099,2673037.276,0.000957712,0.00196331
192.168.50.88,45756,8.8.4.4,53,2,883,1,81,1,802,524852.8626,0.004573,0,0
192.168.50.88,47887,8.8.4.4,53,2,883,1,81,1,802,414328.6535,0.012816,50561.79763,500624.2185
192.168.50.18,57517,224.0.0.252,5355,1,71,1,71,0,0,285684.1256,0,0,0
192.168.50.88,51583,8.8.4.4,53,2,637,1,70,1,567,377024.9422,0.00472,0,0
192.168.50.88,47200,8.8.8.8,53,3,1503,2,150,1,1353,300646.477,455955.199,0.002631838,0.023739174
192.168.50.88,55746,8.8.4.4,53,4,1768,2,163,2,1605,431260.9906,48688.9076,0.026782281,0.263715097
192.168.50.88,57999,8.8.4.4,53,1,70,1,70,0,0,53333.7384,0,0,0
192.168.50.88,47621,8.8.4.4,53,4,296,4,296,0,0,366448.144,10.007407,236.6247321,0
192.168.50.88,46585,8.8.4.4,53,4,296,4,296,0,0,489634.8722,10.010676,236.5474619,0
192.168.50.88,37960,8.8.8.8,53,2,282,1,93,1,189,460104.7297,0.012121,61381.07428,124742.1832
192.168.50.88,58790,8.8.8.8,53,2,290,1,129,1,161,389146.5743,0.012795,80656.50652,100664.3221
192.168.50.88,42115,8.8.4.4,53,2,408,1,140,1,268,500824.4044,0.004285,0,0
192.168.50.11,49516,224.0.0.252,5355,1,71,1,71,0,0,544414.6042,0,0,0
192.168.50.88,40819,8.8.8.8,53,2,262,1,81,1,181,3492.363408,0.020322,31886.62533,71252.82945
192.168.50.15,54440,192.168.50.88,53,6,708,3,228,3,480,314184.0662,2082718.713,0.000875778,0.001843744
fe80::d58e:a29a:c48:dd8f,55424,ff02::1:3,5355,2,182,2,182,0,0,279383.4307,626447.5543,0.002324217,0
192.168.50.88,57322,8.8.8.8,53,3,726,2,159,1,567,361924.7606,2596605.092,0.00048987,0.001746896
192.168.50.50,64065,192.168.50.88,53,2,468,1,78,1,390,476942.4467,0.000389,0,0
192.168.50.18,53224,192.168.50.88,53,4,488,2,160,2,328,579315.9868,334038.8401,0.00383189,0.007855374
192.168.50.88,38263,8.8.4.4,53,1,95,1,95,0,0,207941.1185,0,0,0
192.168.50.88,55834,8.8.8.8,53,1,70,1,70,0,0,503935.4574,0,0,0
192.168.50.18,53122,192.168.50.88,53,4,488,2,160,2,328,326997.0464,2663973.62,0.000480485,0.000984995
192.168.50.54,62194,239.255.255.250,1900,4,860,4,860,0,0,505818.4058,2.996626,2295.915473,0
192.168.50.19,49593,192.168.50.88,53,2,391,1,73,1,318,523410.6241,0.013309,43880.08133,191148.8475
192.168.50.88,59213,8.8.4.4,53,2,242,1,105,1,137,437702.99,0.004011,0,0
192.168.50.54,58720,239.255.255.250,1900,4,860,4,860,0,0,485178.4834,2.997693,2295.098264,0
192.168.50.15,65132,192.168.50.88,53,4,472,2,152,2,320,454975.526,1758242.908,0.0006916,0.001455999
192.168.50.88,35820,8.8.8.8,53,1,78,1,78,0,0,199474.4654,0,0,0
192.168.50.88,36175,91.189.89.199,123,2,180,1,90,1,90,419733.0833,0.146336,4920.183687,4920.183687
192.168.50.88,56209,8.8.4.4,53,2,178,2,178,0,0,358314.6774,111663.8625,0.012752559,0
fe80::891f:ff8f:8660:beff,56054,ff02::1:3,5355,1,91,1,91,0,0,287011.8812,0,0,0
192.168.50.57,62691,192.168.50.88,53,2,391,1,82,1,309,50025.97499,0.006474,101328.3906,381835.0328
192.168.50.88,54242,8.8.4.4,53,1,89,1,89,0,0,209.940153,0,0,0
192.168.50.15,55812,192.168.50.88,53,2,236,1,76,1,160,495544.0366,0.0002,0,0
192.168.50.11,61637,224.0.0.252,5355,1,71,1,71,0,0,338312.9871,0,0,0
192.168.50.88,38200,8.8.4.4,53,2,206,1,89,1,117,10667.02641,0.010652,66841.90762,87870.82237
192.168.50.88,54202,8.8.4.4,53,2,891,1,85,1,806,507250.4913,0.004667,0,0
192.168.50.88,52074,8.8.4.4,53,4,519,2,193,2,326,457499.3281,50746.45977,0.030425768,0.051392748
192.168.50.63,50752,192.168.50.88,53,2,468,1,82,1,386,434865.8135,0.000147,0,0
192.168.50.18,51783,224.0.0.252,5355,1,71,1,71,0,0,289284.5201,0,0,0
192.168.50.18,54091,224.0.0.252,5355,2,142,2,142,0,0,437800.1148,0.104414,10879.76708,0
192.168.50.18,55623,192.168.50.88,53,2,244,1,80,1,164,191568.0269,0.000213,0,0
192.168.50.88,35404,8.8.4.4,53,2,282,1,93,1,189,442080.5102,0.004539,0,0
192.168.50.88,57072,8.8.4.4,53,2,220,1,90,1,130,407398.5786,0.013537,53187.56005,76826.47563
192.168.50.15,65495,192.168.50.88,53,2,236,1,76,1,160,416355.5876,0.000282,0,0
192.168.50.88,36101,8.8.8.8,53,2,210,1,89,1,121,2180.845813,0.031323,22730.90062,30903.8087
192.168.50.88,38835,8.8.8.8,53,2,277,1,83,1,194,366847.6074,0.011204,59264.54848,138521.9567
192.168.50.18,57353,192.168.50.88,53,2,244,1,80,1,164,487089.9736,0.000188,0,0
192.168.50.15,53093,192.168.50.88,53,4,472,2,152,2,320,274877.1864,1338846.429,0.000908245,0.001912094
192.168.50.54,51547,239.255.255.250,1900,4,860,4,860,0,0,381858.2053,2.998761,2294.280871,0
192.168.50.18,56476,192.168.50.88,53,8,976,4,320,4,656,282353.5119,2822202.991,0.000907093,0.00185954
fe80::3403:4993:3b2c:2ae9,52659,ff02::1:3,5355,2,168,2,168,0,0,507850.8657,0.102983,13050.69769,0
192.168.50.88,51604,8.8.4.4,53,2,637,1,70,1,567,433435.026,0.005047,110957.0039,898751.7313
192.168.50.88,56737,8.8.4.4,53,2,885,1,82,1,803,19760.86538,0.011666,56231.78468,550660.0378
192.168.50.88,47438,8.8.4.4,53,1,97,1,97,0,0,178.125806,0,0,0
192.168.50.18,61421,192.168.50.88,53,4,488,2,160,2,328,317996.5275,897475.9363,0.001426222,0.002923755
192.168.50.88,52788,8.8.8.8,53,4,296,4,296,0,0,159686.3674,10.010518,236.5511955,0
192.168.50.57,58385,192.168.50.88,53,2,502,1,78,1,424,458596.2163,0.346149,1802.691904,9799.248301
192.168.50.54,56345,239.255.255.250,1900,4,860,4,860,0,0,496338.3517,2.999074,2294.041427,0
fe80::5d54:f84:50ed:8e39,63064,ff02::1:3,5355,2,168,2,168,0,0,4644.031058,0.096549,13920.39275,0
192.168.50.88,42023,8.8.8.8,53,2,885,1,82,1,803,459866.0099,0.011892,55163.13497,540195.09
192.168.50.88,39260,8.8.4.4,53,3,953,2,151,1,802,466627.7869,1212850.966,0.000996,0.005290015
fe80::891f:ff8f:8660:beff,59034,ff02::1:3,5355,1,91,1,91,0,0,44010.46613,0,0,0
192.168.50.103,54206,192.168.50.88,53,4,308,2,154,2,154,476764.682,10.000389,123.1952077,123.1952077
192.168.50.14,58783,224.0.0.252,5355,2,128,2,128,0,0,158131.8584,0.10364,9880.355074,0
192.168.50.88,55545,8.8.8.8,53,1,89,1,89,0,0,507535.3879,0,0,0
192.168.50.88,57554,91.189.91.26,80,196,2208807,89,7632,107,2201175,2815984.049,1.214513,50272.00204,14499144.93
192.168.50.88,38729,8.8.4.4,53,1,70,1,70,0,0,333032.9047,0,0,0
192.168.50.15,62108,192.168.50.88,53,4,472,2,152,2,320,293930.967,1310340.095,0.000928003,0.001953691
192.168.50.88,36203,8.8.4.4,53,2,277,1,88,1,189,500656.8838,0.012131,58033.13826,124639.3538
192.168.50.88,45875,8.8.8.8,53,3,973,2,168,1,805,153576.5304,2335202.385,0.000575539,0.002757791
192.168.50.18,56345,192.168.50.88,53,4,488,2,160,2,328,314756.3531,791209.8617,0.001617776,0.00331644
192.168.50.88,59278,8.8.4.4,53,1,70,1,70,0,0,423306.1774,0,0,0
192.168.50.88,51786,8.8.4.4,53,2,637,1,70,1,567,450304.428,0.004515,0,0
192.168.50.88,41832,8.8.4.4,53,2,883,1,81,1,802,404997.3937,0.004543,0,0
192.168.50.88,48532,8.8.4.4,53,1,89,1,89,0,0,53845.49958,0,0,0
fe80::3403:4993:3b2c:2ae9,64977,ff02::1:3,5355,2,168,2,168,0,0,416206.8791,0.098849,13596.49566,0
fe80::785b:9c3b:68b4:aa64,52412,ff02::1:3,5355,1,91,1,91,0,0,414050.3827,0,0,0
192.168.50.88,60030,8.8.4.4,53,1,89,1,89,0,0,195854.9278,0,0,0
